,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
245,245,تیبا,دیروز,1393,168000,SX بنزینی,کرج / گلشهر,210000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e3cf0d9e-13e2-437e-9f03-b9b98655d628/CarImage_638374913809702152_thumb_900_600.jpg?width=270
246,246,پراید,دیروز,1396,140000,SE,تهران / تهرانپارس شرقی,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e1d13c11-ccc8-4679-a46d-67955a7c5fc3/CarImage_638374911563436196_thumb_900_600.jpg?width=270
247,247,پراید,دیروز,1389,148000,دنده ای,تهران / فلاح,168000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/225f7542-aed2-4b52-82a2-d7441d3f4872/CarImage_638374908288005632_thumb_900_600.jpg?width=270
248,248,پراید,دیروز,1383,350000,دنده ای,تهران / اکباتان,95000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/f14a22bd-ad6d-48ed-b96d-b394f393333c/CarImage_638374905338735826_thumb_900_600.jpg?width=270
249,249,تیبا,دیروز,1398,49500,EX,تهران / رسالت,274000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/555d7362-b635-4525-9e4e-c3f5485d749f/CarImage_638374900835791493_thumb_900_600.jpg?width=270
250,250,پراید,دیروز,1391,360000,SL,رباط کریم,,/images/default-images/default-car-white.svg
251,251,کوییک,دیروز,1402,0,دنده ای,تهران / نیرو هوایی,340000000.0,/images/default-images/default-car-white.svg
252,252,پراید,دیروز,1396,150000,SE,تهران / آبشار,220000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/89f42c65-435b-4a2a-ab79-e262b30de40c/CarImage_638374896735774410_thumb_900_600.jpg?width=270
253,253,کوییک,دیروز,1401,35000,دنده ای,ارومیه,320000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/c303e28c-aa3f-4dba-876e-b2432ac161da/CarImage_638374893176385016_thumb_900_600.jpg?width=270
254,254,پراید,دیروز,1399,37000,SE,هشتگرد,265000000.0,/images/default-images/default-car-white.svg
255,255,برلیانس,دیروز,1397,100000,1.65 اتوماتیک,لنجان,665000000.0,/images/default-images/default-car-white.svg
256,256,تیبا,دیروز,1397,78000,SX بنزینی,ملارد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/0e441fc0-0c5e-418d-a144-cf4f1601a7aa/CarImage_638375787437188499_thumb_900_600.jpg?width=270
257,257,پراید,دیروز,1402,0,SE,تهران / پیروزی,271500000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/60ca39a9-4e46-4a36-8de8-9254958f29d0/CarImage_638374869742870966_thumb_900_600.jpg?width=270
258,258,پراید,دیروز,1390,180000,SX,اصفهان / اشراق,210000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d6fe8c8c-0b32-4ca1-8d09-37002f5aa04a/CarImage_638374861886407441_thumb_900_600.jpg?width=270
259,259,برلیانس,دیروز,1397,72000,1.65 اتوماتیک,آستارا,700000000.0,/images/default-images/default-car-white.svg
260,260,پراید,دیروز,1399,0,SE,تهران / تهرانپارس شرقی,250000000.0,/images/default-images/default-car-white.svg
261,261,پراید,دیروز,1382,40000,دنده ای,تهران / امام حسین(ع),,/images/default-images/default-car-white.svg
262,262,ساینا,دیروز,1401,21000,دنده ای,کرج / مهرشهر - فاز 2,315000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/149bbb67-6d8c-422a-a556-8cadd7ed7b6e/CarImage_638374853451793640_thumb_900_600.jpg?width=270
263,263,کوییک,دیروز,1401,26000,دنده ای,تهران / تهران‌نو,306000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/77f21c06-23fa-4ea0-8e37-a5f839c93601/CarImage_638374852812685427_thumb_900_600.jpeg?width=270
264,264,چانگان,دیروز,1395,180000,اتوماتیک,آمل / آمل,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/cb18adbe-0c76-4100-bed0-48001c39e333/CarImage_638374847354334511_thumb_900_600.jpg?width=270
265,265,ساینا,دیروز,1400,49000,دنده ای,شهرکرد,305000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/6023101f-2572-4cf8-be9e-bcd3955abab3/CarImage_638374845499144174_thumb_900_600.jpg?width=270
266,266,پراید,دیروز,1398,78000,SE,تهران / نازی‌آباد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/8e38bbd7-3113-4e8a-b195-0748d136e487/CarImage_638374842165459137_thumb_900_600.jpg?width=270
267,267,پراید,دیروز,1394,143000,SE,تهران / آبشار,215000000.0,/images/default-images/default-car-white.svg
268,268,پراید,دیروز,1392,175000,SE,تهران / سلسبیل,220000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/5190a585-6a49-4b2c-9ce9-220a1d5cf943/CarImage_638374835291340951_thumb_900_600.jpg?width=270
269,269,کیا,دیروز,1385,400000,دنده ای,تنکابن,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/4e3f059a-ec5c-4f4a-9407-98ffb73673e3/CarImage_638374832195840472_thumb_900_600.jpg?width=270
270,270,کوییک,دیروز,1401,16500,دنده ای,تهران / دهکده المپیک,322000000.0,/images/default-images/default-car-white.svg
271,271,برلیانس,دیروز,1397,104000,1.5 دنده ای,تهران / باغ فیض,536000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/8e5400a1-16f0-4ed8-80be-3e5fc9da1d86/CarImage_638374818351365092_thumb_900_600.jpg?width=270
272,272,پراید,دیروز,1397,75000,SE,کرج / دولت‌آباد,227000000.0,/images/default-images/default-car-white.svg
273,273,تیبا,دیروز,1395,180000,SX بنزینی,ورامین,243000000.0,/images/default-images/default-car-white.svg
274,274,چانگان,دیروز,2023,0,تیپ 3,اصفهان / مهرآباد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/6d44fb11-20b6-4268-b434-6dc546908618/CarImage_638368100964128189_thumb_900_600.jpg?width=270
275,275,چانگان,دیروز,2023,0,تیپ 3,تهران / آزادی,,/images/default-images/default-car-white.svg
276,276,برلیانس,دیروز,1395,80000,1.5 اتوماتیک,تهران / ظفر,570000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/dbaac6ce-1241-4cb0-8481-e57cd8be6133/CarImage_638374784451248426_thumb_900_600.jpeg?width=270
